SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2177 3rd St #613,San Francisco,CA,94107,725000,0,1.0,San Francisco,502,,2020,9,1444,742,Active,,,http://www.redfin.com/CA/San-Francisco/2177-3rd-St-94107/unit-613/home/175891629,San Francisco MLS,421579388,N,Y,37.7622991,-122.3884155
MLS Listing,,Single Family Residential,2170 Green St,San Francisco,CA,94123,11000000,9,8.5,San Francisco,7720,7562,1900,9,1425,,Active,,,http://www.redfin.com/CA/San-Francisco/2170-Green-St-94123/home/852113,San Francisco MLS,421578572,N,Y,37.796503,-122.434848
MLS Listing,,Single Family Residential,214 Bonview St,San Francisco,CA,94110,1575000,2,2.0,San Francisco,1425,2191,1900,9,1105,,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/214-Bonview-St-94110/home/1510981,San Francisco MLS,421578406,N,Y,37.7405297,-122.4187426
MLS Listing,,Condo/Co-op,870 Harrison St #405,San Francisco,CA,94107,369563,2,1.0,San Francisco,889,5843,,9,416,705,Active,,,http://www.redfin.com/CA/San-Francisco/870-Harrison-St-94107/unit-405/home/109686975,San Francisco MLS,421579304,N,Y,37.7797695,-122.401375
MLS Listing,,Condo/Co-op,66 Cleary Ct #1003,San Francisco,CA,94109,1175000,3,2.0,San Francisco,1102,65376,1963,9,1066,998,Active,August-6-2021 03:30 PM,August-6-2021 05:30 PM,http://www.redfin.com/CA/San-Francisco/66-Cleary-Ct-94109/unit-1003/home/1846440,San Francisco MLS,421558295,N,Y,37.7841279,-122.4273921
MLS Listing,,Single Family Residential,2142 42nd Ave,San Francisco,CA,94116,1388000,4,3.5,San Francisco,1682,2996,1947,9,825,,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2142-42nd-Ave-94116/home/1596290,San Francisco MLS,421579088,N,Y,37.7467525,-122.5004314
MLS Listing,,Single Family Residential,1576 Kirkwood Ave,San Francisco,CA,94124,850000,2,1.0,Bayview,1270,2495,1925,9,669,,Active,,,http://www.redfin.com/CA/San-Francisco/1576-Kirkwood-Ave-94124/home/748166,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960753,N,Y,37.7379417,-122.3891348
MLS Listing,,Single Family Residential,2546 19Th Ave,San Francisco,CA,94116,1299000,3,2.0,Parkside,1662,2735,1938,9,782,,Active,,,http://www.redfin.com/CA/San-Francisco/2546-19th-Ave-94116/home/1033859,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960707,N,Y,37.740307,-122.47513
MLS Listing,,Condo/Co-op,708 Long Bridge St #110,San Francisco,CA,94158,1398000,1,2.0,San Francisco,1090,84866,2016,9,1283,1137,Active,,,http://www.redfin.com/CA/San-Francisco/708-Long-Bridge-St-94158/unit-110/home/109278479,San Francisco MLS,421568698,N,Y,37.7720304,-122.3935768
MLS Listing,,Condo/Co-op,300 3rd St #1014,SAN FRANCISCO,CA,94107,1298000,2,2.0,SAN FRANCISCO,1161,,1990,9,1118,895,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/300-3rd-St-94107/unit-1014/home/1103114,MLSListings,ML81855685,N,Y,37.7835658,-122.3989483
MLS Listing,,Single Family Residential,1555 Bacon St,San Francisco,CA,94134,1349000,4,2.5,San Francisco,2150,2495,1965,9,627,,Active,,,http://www.redfin.com/CA/San-Francisco/1555-Bacon-St-94134/home/1084609,San Francisco MLS,421577913,N,Y,37.7237415,-122.4178964
